venue_name,venue_id,sample_venue_url,activity_names,activity_ids
Seng Kang Secondary School Hall,eYMEyuJQ37svFGs7lRjXD,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/eYMEyuJQ37svFGs7lRjXD/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Sengkang Green Primary School Hall,RjmwZ5DpXxk9rUEXcP1Eq,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/RjmwZ5DpXxk9rUEXcP1Eq/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Sengkang Hockey Pitch & Outdoor Pickleball Courts,5Z64Jih8Cp9UFa4uG9VY0,https://activesg.gov.sg/facility-bookings/activities/BPQihVHITc7IPGorVeB2Y/venues/5Z64Jih8Cp9UFa4uG9VY0/timeslots,Pickleball | Hockey | Hockey (Night),BPQihVHITc7IPGorVeB2Y | oiJVOW7FNTuKB07f1JaZU | W8c1ujw048h9x2zq41dBA
Sengkang Sport Centre - Table Tennis Area,d2rcbYEKj84TSo5vt69Uo,https://activesg.gov.sg/facility-bookings/activities/lpa7rfS4ShmUUt7XsFJlD/venues/d2rcbYEKj84TSo5vt69Uo/timeslots,Table Tennis,lpa7rfS4ShmUUt7XsFJlD
Sengkang Sport Hall,cRyHuTcU77VZY7Er3jVf5,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/cRyHuTcU77VZY7Er3jVf5/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Senja-Cashew Sport Hall,JEBGvnHbjLScZCVrgAorv,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/JEBGvnHbjLScZCVrgAorv/timeslots,Badminton | Table Tennis,YLONatwvqJfikKOmB5N9U | lpa7rfS4ShmUUt7XsFJlD
Senja-Cashew Tennis Centre,SMxd4ViajZyyElt7u3BqR,https://activesg.gov.sg/facility-bookings/activities/B0KovYOcQun1mA4VowDq0/venues/SMxd4ViajZyyElt7u3BqR/timeslots,Tennis,B0KovYOcQun1mA4VowDq0
Serangoon Garden Secondary School Field,0vAUeKQGD9hggg1DUOmvO,https://activesg.gov.sg/facility-bookings/activities/qSP0nrWIP8357EAeeLo4Z/venues/0vAUeKQGD9hggg1DUOmvO/timeslots,Soccer,qSP0nrWIP8357EAeeLo4Z
Serangoon Garden Secondary School Hall,HOBvXHvooY9higfh69TVj,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/HOBvXHvooY9higfh69TVj/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Serangoon Secondary School Hall,3DEYLIkm07HzOjfurjKvC,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/3DEYLIkm07HzOjfurjKvC/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Serangoon Swimming Complex - Table Tennis Area,L4LX2bHtLU4s7d2Np7lOm,https://activesg.gov.sg/facility-bookings/activities/lpa7rfS4ShmUUt7XsFJlD/venues/L4LX2bHtLU4s7d2Np7lOm/timeslots,Table Tennis,lpa7rfS4ShmUUt7XsFJlD
